gse_id,contact_country,date_cleaned,sex,race,sex_ratio,race_dist_score,DEI score
GSE197285,NLD,2022-02-23,0.0,0.0,0.0,0.0,0.0
GSE196723,DNK,2022-02-14,0.0,0.0,0.0,0.0,0.0
GSE181549,USA,2021-08-06,0.0,1.0,0.0,0.2388520132429678,4.238852013242968
GSE194397,USA,2022-01-25,0.0,0.1962025316455696,0.0,0.9325790676813567,1.7173891942636352
GSE148346,USA,2020-04-08,0.0,0.0,0.0,0.0,0.0
GSE188427,BEL,2021-11-08,0.0,0.0,0.0,0.0,0.0
GSE125019,GBR,2019-01-13,0.0,1.0,0.0,0.21057172221847142,4.2105717222184715
GSE193150,CAN,2022-01-06,0.0,0.0,0.0,0.0,0.0
GSE193135,CAN,2022-01-06,0.0,0.0,0.0,0.0,0.0
GSE124842,GBR,2019-01-09,0.0,1.0,0.0,0.9229095530767273,4.922909553076727
GSE178460,FIN,2021-06-18,0.0,0.0,0.0,0.0,0.0
GSE72326,USA,2015-08-24,0.0,0.9117647058823529,0.0,0.7298935647752868,4.376952388304699
GSE183136,USA,2021-08-31,0.0,0.0,0.0,0.0,0.0
GSE183071,ESP,2021-08-31,0.0,0.0,0.0,0.0,0.0
GSE162635,AUT,2020-12-03,0.0,0.0,0.0,0.0,0.0
GSE44589,AUT,2013-02-22,0.0,0.0,0.0,0.0,0.0
GSE150059,CAN,2020-05-07,0.0,0.0,0.0,0.0,0.0
GSE192444,CAN,2021-12-21,0.0,0.0,0.0,0.0,0.0
GSE182065,USA,2021-08-13,0.0,0.0,0.0,0.0,0.0
GSE182060,USA,2021-08-13,0.0,0.0,0.0,0.0,0.0
GSE150734,USA,2021-08-05,0.0,0.0,0.0,0.0,0.0
GSE85550,USA,2021-08-05,0.0,0.0,0.0,0.0,0.0
GSE190847,DEU,2021-12-13,0.0,0.0,0.0,0.0,0.0
GSE186102,ESP,2021-10-19,0.0,0.0,0.0,0.0,0.0
GSE152532,USA,2020-06-15,0.0,0.0,0.0,0.0,0.0
GSE186582,FRA,2021-10-26,0.0,0.0,0.0,0.0,0.0
GSE141661,FRA,2019-12-07,0.0,0.0,0.0,0.0,0.0
GSE141631,FRA,2019-12-08,0.0,0.0,0.0,0.0,0.0
GSE141623,FRA,2019-12-07,0.0,0.0,0.0,0.0,0.0
GSE160120,SGP,2020-10-26,0.0,0.0,0.0,0.0,0.0
GSE152951,NLD,2020-06-22,0.0,0.0,0.0,0.0,0.0
GSE189343,SWE,2021-11-22,0.0,0.0,0.0,0.0,0.0
GSE166999,CAN,2021-02-17,0.0,0.0,0.0,0.0,0.0
GSE166998,CAN,2021-02-17,0.0,0.0,0.0,0.0,0.0
GSE123088,SWE,2018-11-28,0.0,0.0,0.0,0.0,0.0
GSE123086,SWE,2018-11-28,0.0,0.0,0.0,0.0,0.0
GSE169455,SWE,2021-03-23,0.0,0.0,0.0,0.0,0.0
GSE183030,CHN,2021-08-30,0.0,0.0,0.0,0.0,0.0
GSE148321,ESP,2020-04-08,0.0,0.0,0.0,0.0,0.0
GSE168760,USA,2021-03-11,0.0,0.0,0.0,0.0,0.0
GSE106584,USA,2017-11-06,0.0,0.0,0.0,0.0,0.0
GSE163173,ITA,2020-12-14,0.0,0.0,0.0,0.0,0.0
GSE122290,AUS,2018-11-07,0.0,0.0,0.0,0.0,0.0
GSE182852,ESP,2021-08-26,0.0,0.0,0.0,0.0,0.0
GSE182616,USA,2021-08-23,0.0,0.0,0.0,0.0,0.0
GSE152529,DEU,2020-06-15,0.0,0.0,0.0,0.0,0.0
GSE186110,CAN,2021-10-19,0.0,0.0,0.0,0.0,0.0
GSE182798,FIN,2021-08-20,0.0,0.0,0.0,0.0,0.0
GSE182503,FIN,2021-08-20,0.0,0.0,0.0,0.0,0.0
GSE186001,CAN,2021-10-15,0.0,0.0,0.0,0.0,0.0
GSE163211,USA,2020-12-14,0.0,0.9811320754716981,0.0,0.515633242592935,4.440161544479728
GSE185047,BEL,2021-09-29,0.0,0.0,0.0,0.0,0.0
GSE166069,USA,2021-02-03,0.0,0.0,0.0,0.0,0.0
GSE180347,DEU,2021-07-19,0.0,0.0,0.0,0.0,0.0
GSE126581,ESP,2019-02-14,0.0,0.0,0.0,0.0,0.0
GSE120908,USA,2018-10-05,0.0,0.0,0.0,0.0,0.0
GSE120906,USA,2018-10-05,0.0,0.0,0.0,0.0,0.0
GSE69063,AUS,2015-05-19,0.0,0.0,0.0,0.0,0.0
GSE183356,USA,2021-09-03,0.0,0.0,0.0,0.0,0.0
GSE145848,USA,2020-02-24,0.0,0.0,0.0,0.0,0.0
